family,scientific_name,common_name,lifestyle,mr_sample_size,mr_mass_grams,mr_temp_celcius,whole_organism_mr_watts,amat,amax,repro_output,rmax,m_rtype,trophic_position,tro_standard_error,whole_organism_mr_watts_fourth_root,mass_fourth_root,std_whole_organism_mr_watts_fourth,std_mass_fourth_root,std_trophic_position
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.563390639068917,6.216651176494173,-0.2720960566401703,0.8360063495670536,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.6361425754174541,5.977497178777894,-0.022301870565786995,0.7131035633188685,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.6361425754174541,5.977497178777894,-0.022301870565786995,0.7131035633188685,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.6361425754174541,5.977497178777894,-0.022301870565786995,0.7131035633188685,0.8817874189689912
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,4.2,0.27,0.6361425754174541,5.977497178777894,-0.022301870565786995,0.7131035633188685,0.8817874189689912
