"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Centropristis_striata","serranidae","black_sea_bass","teleost","240.307","mean","349.845","middle","3.9","0.19"
"Centropristis_striata","serranidae","black_sea_bass","teleost","289.2391667","mean","391.9208333","middle","3.9","0.19"
"Centropristis_striata","serranidae","black_sea_bass","teleost","358.1066667","mean","365.9125","middle","3.9","0.19"
"Centropristis_striata","serranidae","black_sea_bass","teleost","353.9808333","mean","347.25","middle","3.9","0.19"
"Centropristis_striata","serranidae","black_sea_bass","teleost","307.2242857","mean","328.9285714","middle","3.9","0.19"
"Carcharhinus_melanopterus","carcharhinidae","blacktip_reef_shark","elasmo","221.98","mean","1050","mean","3.9","0.41"
"Reinhardtius_hippoglossoides","pleuronectidae","greenland_halibut","teleost","87.06","mean","80","mean","4.4","0.14"
"Solea_solea","soleidae","common_sole","teleost","60.34","mean","150","mean","3.2","0.15"
"Solea_solea","soleidae","common_sole","teleost","108.98","mean","150","mean","3.2","0.15"
"Solea_solea","soleidae","common_sole","teleost","120.48","mean","150","mean","3.2","0.15"
"Gadus_morhua","gadidae","atlantic_cod","teleost","130.8","mean","243.4","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","165","mean","371.1","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","211.9","mean","298.4","mean","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","123.5","raw","160","raw","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","98.4","raw","103","raw","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","82.1","raw","184","raw","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","63.1","raw","126","raw","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","98.9","raw","190","raw","4.1","0.18"
"Gadus_morhua","gadidae","atlantic_cod","teleost","82.2","raw","150","raw","4.1","0.18"
"Pollachius_virens","gadidae","saithe","teleost","247.1","mean","485","mean","4.3","0.35"
"Merlangius_merlangus","gadidae","whiting","teleost","85.2","mean","297","mean","4.4","0.18"
"Ammodytes_tobianus","ammodytidae","lesser_sand-eel","teleost","413.4","mean","3.4","mean","3.1","0.07"
"Limanda_limanda","pleuronectidae","common_dab","teleost","92.14","mean","399.9","mean","3","0.01"
"Limanda_limanda","pleuronectidae","common_dab","teleost","123.71","mean","236.2","raw","3","0.01"
"Limanda_limanda","pleuronectidae","common_dab","teleost","129.55","mean","395.8","mean","3","0.01"
"Microstomus_kitt","pleuronectidae","lemon_sole","teleost","79.38","mean","229.4","mean","3.2","0.33"
"Microstomus_kitt","pleuronectidae","lemon_sole","teleost","126.02","mean","248.7","mean","3.2","0.33"
"Microstomus_kitt","pleuronectidae","lemon_sole","teleost","112.82","mean","221.3","mean","3.2","0.33"
"Negaprion_brevirostris","carcharhinidae","lemon_shark","elasmo","242.83","mean","1385","mean","4.3","0.5"
"Pleuronectes_platessa","pleuronectidae","plaice","teleost","74.64","mean","288.63","mean","3.2","0.27"
"Pleuronectes_platessa","pleuronectidae","plaice","teleost","116.24","mean","383.03","mean","3.2","0.27"
"Pleuronectes_platessa","pleuronectidae","plaice","teleost","129.09","mean","281.16","mean","3.2","0.27"
"Scyliorhinus_canicula","scyliorhinidae","spotted_catshark","elasmo","136.5","raw","406.5","raw","3.8","0.26"
"Scyliorhinus_canicula","scyliorhinidae","spotted_catshark","elasmo","96.6","raw","607.5","raw","3.8","0.26"
"Scyliorhinus_canicula","scyliorhinidae","spotted_catshark","elasmo","149.46","raw","401.5","raw","3.8","0.26"
"Scyliorhinus_canicula","scyliorhinidae","spotted_catshark","elasmo","140.88","raw","327.5","raw","3.8","0.26"
"Scyliorhinus_canicula","scyliorhinidae","spotted_catshark","elasmo","96.96","raw","137.5","raw","3.8","0.26"
"Scyliorhinus_canicula","scyliorhinidae","spotted_catshark","elasmo","109.26","raw","254","raw","3.8","0.26"
"Trachurus_trachurus","carangidae","atlantic_horse_mackerel","teleost","419.02","mean","359.6","mean","3.7","0.02"
"Sphyrna_lewini","sphyrnidae","scalloped_hammerhead","elasmo","312","mean","690.1","mean","4.1","0.45"
"Melanogrammus_aeglefinus","gadidae","haddock","teleost","259","raw","155.9","mean","4","0.13"
"Melanogrammus_aeglefinus","gadidae","haddock","teleost","169","raw","155.9","mean","4","0.13"
"Melanogrammus_aeglefinus","gadidae","haddock","teleost","266","raw","155.9","mean","4","0.13"
"Melanogrammus_aeglefinus","gadidae","haddock","teleost","235","raw","155.9","mean","4","0.13"
"Melanogrammus_aeglefinus","gadidae","haddock","teleost","201","raw","155.9","mean","4","0.13"
"Morone_saxatilis","moronidae","striped_bass","teleost","254.878048780488","mean","1300","mean","4.6","0.25"
"Morone_saxatilis","moronidae","striped_bass","teleost","300","mean","1300","mean","4.6","0.25"
"Dicentrarchus_labrax","moronidae","european_bass","teleost","441.1","mean","200","mean","3.5","0.5"
"Dicentrarchus_labrax","moronidae","european_bass","teleost","283","mean","514","mean","3.5","0.5"
"Triakis_semifasciata","triakidae","leopard_shark","elasmo","62","mean","4000","mean","3.7","0.16"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","10.9252956666667","mean","12.6","mean","2.9","0.38"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","12.0235956666667","mean","12.6","mean","2.9","0.38"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","13.2338176666667","mean","12.6","mean","2.9","0.38"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","14.56555","mean","12.6","mean","2.9","0.38"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","16.031519","mean","12.6","mean","2.9","0.38"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","17.6456713333333","mean","12.6","mean","2.9","0.38"
"Engraulis_ringens","engraulidae","peruvian_anchovetta","teleost","19.4203846666667","mean","12.6","mean","2.9","0.38"
"Micropogonias_undulatus","sciaenidae","atlantic_croaker","teleost","755.9","mean","274","mean","4","0.5"
"Pomatomus_saltatrix","pomatomidae","bluefish","teleost","114620","mean","219","mean","4.5","0.3"
"Rostroraja_eglanteria","rajidae","clearnose_skate","elasmo","84.84019","raw","1195","raw","3.9","0.26"
