family,scientific_name,common_name,lifestyle,mr_sample_size,mr_mass_grams,mr_temp_celcius,whole_organism_mr_watts,amat,amax,repro_output,rmax,m_rtype,trophic_position,tro_standard_error
rajidae,Amblyraja_radiata,throny_skate,benthic,14,1493.57142857143,5,0.100748481019738,11,28,7.5,0.253487417475029,rmr,NA,NA
rajidae,Amblyraja_radiata,throny_skate,benthic,9,1276.66666666667,13,0.163763778855667,11,28,7.5,0.253487417475029,rmr,NA,NA
ammodytidae,Ammodytes_tobianus,lesser_sand-eel,benthic,7,3.5,10,0.000945875,1,7,24.1166611920648,2.24938025162531,rmr,NA,NA
anoplopomatidae,Anoplopoma_fimbria,sablefish,pelagic,12,619,11.999,0.154438811807648,6.86,102,0.60607023742012,0.122627442523401,rmr,NA,NA
dasyatidae,Bathytoshia_lata,brown_stringray,benthic,22,5957.727273,25.48181818,1.25688313568599,15,28,1.75,0.116787846924346,rmr,NA,NA
callorhinchidae,Callorhinchus_milii,elephant_fish,benthopelagic,7,2100,14,0.48864725,5,20,9.85,0.533440601873068,rmr,NA,NA
carcharhinidae,Carcharhinus_acronotus,blacknose_shark,benthopelagic,10,560,28,0.525961333333333,3.2,12,1.57,0.323575034794507,rmr,NA,NA
carcharhinidae,Carcharhinus_leucas,bull_shark,pelagic,9,5000,19.7,1.98575,9.5,27,2.25,0.190907874016428,rmr,NA,NA
carcharhinidae,Carcharhinus_limbatus,blacktip_shark,pelagic,7,1260,29.3,0.8808975,6.4,23.5,1.13,0.186202621399858,rmr,NA,NA
carcharhinidae,Carcharhinus_melanopterus,blacktip_reef_shark,benthopelagic,8,1080,29.66,0.4268916,8.5,25,1,0.14078988953422,rmr,NA,NA
carcharhinidae,Carcharhinus_plumbeus,sandbar_shark,pelagic,33,4413.0303030303,24,1.45708308080808,18,40,2.1,0.116185294945653,rmr,NA,NA
carcharhinidae,Carcharhinus_plumbeus,sandbar_shark,pelagic,16,3609.0625,18,0.630069270833333,18,40,2.1,0.116185294945653,rmr,NA,NA
serranidae,Centropristis_striata,black_sea_bass,benthopelagic,44,330.8193182,29.95,0.262269464038988,2,15,13.8653404158325,0.728775581779795,rmr,NA,NA
serranidae,Centropristis_striata,black_sea_bass,benthopelagic,16,350.909375,13.09125,0.0655320150802409,2,15,13.8653404158325,0.728775581779795,rmr,NA,NA
scyliorhinidae,Cephaloscyllium_isabellum,draughtboard_shark,benthic,7,1765.57142857143,17.5,0.394509047619048,9.2,15.5,2,0.161347419326915,rmr,NA,NA
hemiscylliidae,Chiloscyllium_plagiosum,whitespotted_bamboo_shark,benthic,18,19.7,24.5,0.00703684,4.5,12.6,4,0.394507778666397,rmr,NA,NA
hemiscylliidae,Chiloscyllium_plagiosum,whitespotted_bamboo_shark,benthic,6,551.666666666667,18,0.0649274972222222,4.5,12.6,4,0.394507778666397,rmr,NA,NA
moronidae,Dicentrarchus_labrax,european_bass,pelagic,19,514,14,0.112737333333333,5.5,30,7.5047021174903,0.135111749311967,rmr,NA,NA
engraulidae,Engraulis_ringens,peruvian_anchovetta,pelagic,NA,12.6,15,0.005473195,0.5,3,68.6807511188851,1.71781992605084,rmr,NA,NA
gadidae,Gadus_chalcogrammus,alaska_pollock,benthopelagic,4,547.5,7.1,0.0944574375,4.4,22,228.875398856852,0.771158802594138,rmr,NA,NA
gadidae,Gadus_macrocephalus,pacific_cod,benthopelagic,8,1500,11,0.264801728940208,4.4,25,104.236628079937,0.584832624875259,rmr,NA,NA
gadidae,Gadus_morhua,atlantic_cod,benthopelagic,12,371.1,10,0.09069684,2.9,15,350.864044834248,0.917509351721204,rmr,NA,NA
gadidae,Gadus_morhua,atlantic_cod,benthopelagic,11,298.4,15,0.0868368866666667,2.9,15,350.864044834248,0.917509351721204,rmr,NA,NA
ginglymostomatidae,Ginglymostoma_cirratum,nurse_shark,benthic,8,8310,23.9,1.132653,25,35,8.5,0.128345195653545,rmr,NA,NA
ginglymostomatidae,Ginglymostoma_cirratum,nurse_shark,benthic,5,8370,22.5,0.785867022063071,25,35,8.5,0.128345195653545,rmr,NA,NA
pleuronectidae,Glyptocephalus_cynoglossus,witch,benthic,8,5.33,6,0.00084664327078997,5,30,528805.57032258,0.29129582386218,rmr,NA,NA
hemiscylliidae,Hemiscyllium_ocellatum,epaulette_shark,benthic,14,20.0357142857143,27,0.00409170145640121,4,8,10,0.571428261078155,rmr,NA,NA
hemiscylliidae,Hemiscyllium_ocellatum,epaulette_shark,benthic,10,636,25,0.2077494,4,8,10,0.571428261078155,rmr,NA,NA
heterodontidae,Heterodontus_francisci,horn_shark,benthic,19,1746.61578947368,18,0.289045861349241,5,22,7,0.484793285371664,rmr,NA,NA
heterodontidae,Heterodontus_francisci,california_horn_shark,benthic,4,722.5,14,0.0950300833333333,5,22,7,0.484793285371664,rmr,NA,NA
heterodontidae,Heterodontus_portusjacksoni,portjackson_shark,benthic,16,82.40625,20.6,0.0233653427271094,12.5,33,8,0.235347955699171,rmr,NA,NA
heterodontidae,Heterodontus_portusjacksoni,portjackson_shark,benthic,13,89.8615384615385,17.6,0.0179727827567244,12.5,33,8,0.235347955699171,rmr,NA,NA
pleuronectidae,Hippoglossoides_platessoides,american_plaice,benthic,35,316.903842857143,3,0.023523727737381,3.6,24,9.54267925517237,0.341207148848026,rmr,NA,NA
pleuronectidae,Hippoglossoides_platessoides,american_plaice,benthic,22,261.245735318182,6,0.0200365849011364,3.6,24,9.54267925517237,0.341207148848026,rmr,NA,NA
pleuronectidae,Hippoglossus_hippoglossus,atlantic_halibut,benthic,NA,100,14,0.0264766666666667,10,38,1091.54049219523,0.397070549620122,rmr,NA,NA
dasyatidae,Hypanus_americanus,southern_stingray,benthic,6,310,23,0.25606775,5.5,17,1.25,0.201998667619362,rmr,NA,NA
dasyatidae,Hypanus_sabinus,atlantic_stingray,benthic,10,491.4,22.86,0.168405237,3,17,1.3,0.334871143478623,rmr,NA,NA
dasyatidae,Hypanus_sabinus,atlantic_stingray,benthic,7,676,21,0.503212826046667,3,17,1.3,0.334871143478623,rmr,NA,NA
lamnidae,Isurus_oxyrinchus,mako_shark,pelagic,9,6090,21.8,2.95771,11,31,3,0.192516801635039,rmr,NA,NA
scombridae,Katsuwonus_pelamis,skipjack_tuna,pelagic,32,1689.6248540625,28,2.04262491786458,1,12,5.28394128430019,1.31217988143934,rmr,NA,NA
scombridae,Katsuwonus_pelamis,skipjack_tuna,pelagic,5,630.6,23.5,0.64155,1,12,5.28394128430019,1.31217988143934,rmr,NA,NA
rajidae,Leucoraja_erinacea,little_skate,benthic,7,500,10,0.0393625,7.5,12.5,15,0.387954671308783,rmr,NA,NA
rajidae,Leucoraja_erinacea,little_skate,benthic,7,25.5714285714286,15,0.00341869047619048,9.5,18,23,0.366249111181448,rmr,NA,NA
osmeridae,Mallotus_villosus,capelin,pelagic,23,28.3,3.75,0.0131146916666667,2.5,6,1506.72560798372,1.41852453493428,rmr,NA,NA
osmeridae,Mallotus_villosus,capelin,pelagic,21,26.83,5,0.00900571308333333,2.5,6,1506.72560798372,1.41852453493428,rmr,NA,NA
gadidae,Melanogrammus_aeglefinus,haddock,benthopelagic,5,155.9,15,0.0879276,2.5,15,245.148561254285,1.5447425463445,rmr,NA,NA
gadidae,Merlangius_merlangus,whiting,benthopelagic,8,297,10,0.08770905,2,15,123.409453555582,1.16989703121347,rmr,NA,NA
sciaenidae,Micropogonias_undulatus,atlantic_croaker,benthopelagic,19,317.063459368421,25,0.131085974811403,1,17,2.63139932149393,0.95977916607253,rmr,NA,NA
sciaenidae,Micropogonias_undulatus,atlantic_croaker,benthopelagic,5,157.034798,15,0.043289473375,1,17,2.63139932149393,0.95977916607253,rmr,NA,NA
moronidae,Morone_saxatilis,striped_bass,benthopelagic,16,1300,20,0.364259950442909,5.3,21,168.113962600677,0.562422547756674,rmr,NA,NA
triakidae,Mustelus_antarcticus,gummy_shark,benthopelagic,13,4343.76923076923,16,1.40306333661815,6.9,16,5.5,0.318764098704597,rmr,NA,NA
serranidae,Mycteroperca_microlepis,gag_grouper,benthic,13,1943,30,0.602998488881668,3,30,4.72143361707247,0.34501951674536,rmr,NA,NA
serranidae,Mycteroperca_microlepis,gag_grouper,benthic,13,1900,15,0.289179788201217,3,30,4.72143361707247,0.34501951674536,rmr,NA,NA
myliobatidae,Myliobatis_californica,bat_ray,benthopelagic,6,5042,14,0.779191055260665,5,24,1.9,0.296244783674833,rmr,NA,NA
