"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Centropristis striata","Serranidae","Black sea bass","Teleost",240.307,"Mean",349.845,"Middle",3.9,0.19
"Centropristis striata","Serranidae","Black sea bass","Teleost",289.2391667,"Mean",391.9208333,"Middle",3.9,0.19
"Centropristis striata","Serranidae","Black sea bass","Teleost",358.1066667,"Mean",365.9125,"Middle",3.9,0.19
"Centropristis striata","Serranidae","Black sea bass","Teleost",353.9808333,"Mean",347.25,"Middle",3.9,0.19
"Centropristis striata","Serranidae","Black sea bass","Teleost",307.2242857,"Mean",328.9285714,"Middle",3.9,0.19
"Carcharhinus melanopterus","Carcharhinidae","Blacktip reef shark","Elasmo",221.98,"Mean",1050,"Mean",3.9,0.41
"Reinhardtius hippoglossoides","Pleuronectidae","Greenland halibut","Teleost",87.06,"Mean",80,"Mean",4.4,0.14
"Solea solea","Soleidae","Common sole","Teleost",60.34,"Mean",150,"Mean",3.2,0.15
"Solea solea","Soleidae","Common sole","Teleost",108.98,"Mean",150,"Mean",3.2,0.15
"Solea solea","Soleidae","Common sole","Teleost",120.48,"Mean",150,"Mean",3.2,0.15
"Gadus morhua","Gadidae","Atlantic cod","Teleost",130.8,"Mean",243.4,"Mean",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",165,"Mean",371.1,"Mean",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",211.9,"Mean",298.4,"Mean",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",123.5,"Raw",160,"Raw",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",98.4,"Raw",103,"Raw",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",82.1,"Raw",184,"Raw",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",63.1,"Raw",126,"Raw",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",98.9,"Raw",190,"Raw",4.1,0.18
"Gadus morhua","Gadidae","Atlantic cod","Teleost",82.2,"Raw",150,"Raw",4.1,0.18
"Pollachius virens","Gadidae","Saithe","Teleost",247.1,"Mean",485,"Mean",4.3,0.35
"Merlangius merlangus","Gadidae","Whiting","Teleost",85.2,"Mean",297,"Mean",4.4,0.18
"Ammodytes tobianus","Ammodytidae","Lesser sand-eel","Teleost",413.4,"Mean",3.4,"Mean",3.1,0.07
"Limanda limanda","Pleuronectidae","Common dab","Teleost",92.14,"Mean",399.9,"Mean",3,0.01
"Limanda limanda","Pleuronectidae","Common dab","Teleost",123.71,"Mean",236.2,"Raw",3,0.01
"Limanda limanda","Pleuronectidae","Common dab","Teleost",129.55,"Mean",395.8,"Mean",3,0.01
"Microstomus kitt","Pleuronectidae","Lemon sole","Teleost",79.38,"Mean",229.4,"Mean",3.2,0.33
"Microstomus kitt","Pleuronectidae","Lemon sole","Teleost",126.02,"Mean",248.7,"Mean",3.2,0.33
"Microstomus kitt","Pleuronectidae","Lemon sole","Teleost",112.82,"Mean",221.3,"Mean",3.2,0.33
"Negaprion brevirostris","Carcharhinidae","Lemon shark","Elasmo",242.83,"Mean",1385,"Mean",4.3,0.5
"Pleuronectes platessa","Pleuronectidae","Plaice","Teleost",74.64,"Mean",288.63,"Mean",3.2,0.27
"Pleuronectes platessa","Pleuronectidae","Plaice","Teleost",116.24,"Mean",383.03,"Mean",3.2,0.27
"Pleuronectes platessa","Pleuronectidae","Plaice","Teleost",129.09,"Mean",281.16,"Mean",3.2,0.27
"Scyliorhinus canicula","Scyliorhinidae","Spotted catshark","Elasmo",136.5,"Raw",406.5,"Raw",3.8,0.26
"Scyliorhinus canicula","Scyliorhinidae","Spotted catshark","Elasmo",96.6,"Raw",607.5,"Raw",3.8,0.26
"Scyliorhinus canicula","Scyliorhinidae","Spotted catshark","Elasmo",149.46,"Raw",401.5,"Raw",3.8,0.26
"Scyliorhinus canicula","Scyliorhinidae","Spotted catshark","Elasmo",140.88,"Raw",327.5,"Raw",3.8,0.26
"Scyliorhinus canicula","Scyliorhinidae","Spotted catshark","Elasmo",96.96,"Raw",137.5,"Raw",3.8,0.26
"Scyliorhinus canicula","Scyliorhinidae","Spotted catshark","Elasmo",109.26,"Raw",254,"Raw",3.8,0.26
"Trachurus trachurus","Carangidae","Atlantic horse mackerel","Teleost",419.02,"Mean",359.6,"Mean",3.7,0.02
"Sphyrna lewini","Sphyrnidae","Scalloped hammerhead","Elasmo",312,"Mean",690.1,"Mean",4.1,0.45
"Melanogrammus aeglefinus","Gadidae","Haddock","Teleost",259,"Raw",155.9,"Mean",4,0.13
"Melanogrammus aeglefinus","Gadidae","Haddock","Teleost",169,"Raw",155.9,"Mean",4,0.13
"Melanogrammus aeglefinus","Gadidae","Haddock","Teleost",266,"Raw",155.9,"Mean",4,0.13
"Melanogrammus aeglefinus","Gadidae","Haddock","Teleost",235,"Raw",155.9,"Mean",4,0.13
"Melanogrammus aeglefinus","Gadidae","Haddock","Teleost",201,"Raw",155.9,"Mean",4,0.13
"Morone saxatilis","Moronidae","Striped bass","Teleost",254.878048780488,"Mean",1300,"Mean",4.6,0.25
"Morone saxatilis","Moronidae","Striped bass","Teleost",300,"Mean",1300,"Mean",4.6,0.25
"Squalus suckleyi","Squalidae","Spiny dogfish","Elasmo",56,"Mean",1854,"Mean",NA,NA
"Isurus oxyrinchus","Lamnidae","Mako shark","Elasmo",417,"Raw",4900,"Raw",4.5,NA
"Mycteroperca microlepis","Serranidae","Gag grouper","Teleost",NA,"Mean",1900,"Mean",NA,NA
"Mycteroperca microlepis","Serranidae","Gag grouper","Teleost",NA,"Mean",1798,"Mean",NA,NA
"Mycteroperca microlepis","Serranidae","Gag grouper","Teleost",NA,"Mean",1943,"Mean",NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",33620,"Raw",203,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",78120,"Raw",493,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",134080,"Raw",893,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",665050,"Raw",3550,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",491270,"Raw",2460,NA,NA,NA
