"ScientificName","Family.x","CommonName","TeleostOrElasmo","MRRawMgPerKgPerH","MRRawDataOrMean","BodyMassInGrams","MassRawDataOrMean","Family.y","trophic level"
"Albula vulpes","Albulidae","Bonefish","Teleost",154300,"Mean",672.43,"Mean","Albulidae","3.7   +/- s.e. 0.28"
"Ammodytes tobianus","Ammodytidae","Lesser sand-eel","Teleost",413.4,"Mean",3.4,"Mean","Ammodytidae","3.1   +/- s.e. 0.07"
"Anarhichas lupus","Anarhichadidae","Common wolf-fish","Teleost",125140,"Mean",1390,"Mean","Anarhichadidae","3.6"
"Anarhichas lupus","Anarhichadidae","Common wolf-fish","Teleost",82350,"Mean",1390,"Mean","Anarhichadidae","3.6"
"Anoplopoma fimbria","Anoplopomatidae","Sablefish","Teleost",539.2,"Mean",993,"Raw","Anoplopomatidae","3.8   +/- s.e. 0.2"
"Boreogadus saida","Gadidae","Arctic cod","Teleost",82.56,"Mean",23.3,"Mean","Gadidae","3.1   +/- s.e. 0.11"
"Caranx caballus","Carangidae","Green jack","Teleost",78430,"Mean",189.7,"Mean","Carangidae","4+/- s.e. 0.54"
"Carcharhinus leucas","Carcharhinidae","Bull shark","Elasmo",230.04,"Mean",2810,"Mean","Carcharhinidae","4.3   +/- s.e. 0.46"
"Carcharhinus leucas","Carcharhinidae","Bull shark","Elasmo",351.41,"Mean",2730,"Mean","Carcharhinidae","4.3   +/- s.e. 0.46"
"Carcharhinus leucas","Carcharhinidae","Bull shark","Elasmo",355.54,"Mean",2750,"Mean","Carcharhinidae","4.3   +/- s.e. 0.46"
"Carcharhinus melanopterus","Carcharhinidae","Blacktip reef shark","Elasmo",221.98,"Mean",1050,"Mean","Carcharhinidae","3.9   +/- s.e. 0.41"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",100.9105088,"Raw",7300,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",106.4477738,"Raw",2660,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",121.3541858,"Raw",5090,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",120.0908303,"Raw",5460,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",82.3615522,"Raw",5690,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",96.3684471,"Raw",7760,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",203.9786524,"Raw",3310,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",127.3663487,"Raw",4220,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",137.641184,"Raw",3980,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",144.8539328,"Raw",2560,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",144.8539328,"Raw",2560,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",92.474247,"Raw",6810,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",92.474247,"Raw",6810,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",87.8073106,"Raw",6840,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",79.0631119,"Raw",7300,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",210.6121192,"Raw",2660,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",117.8615634,"Raw",5090,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",187.2214267,"Raw",5460,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",120.5218507,"Raw",5690,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",171.2532268,"Raw",7760,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",186.3984441,"Raw",3310,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",118.6887618,"Raw",4220,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",231.1794021,"Raw",3980,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",110.7133332,"Raw",2560,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",91.7662866,"Raw",6810,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",91.7662866,"Raw",6810,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",163.0917505,"Raw",6840,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",90.8597957,"Raw",7300,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",255.5815952,"Raw",2660,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",122.6875439,"Raw",5090,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",136.5883098,"Raw",5460,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",302.6681092,"Raw",5690,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",58.0218925,"Raw",7760,"Raw","Carcharhinidae","4.5"
"Carcharhinus plumbeus","Carcharhinidae","Sandbar shark","Elasmo",199.3023817,"Raw",3310,"Raw","Carcharhinidae","4.5"
