ScientificName,ScientificNamePopID,Family,CommonName,SerenaOrSarah,TeleostOrElasmo,MROriginLocation,RawMetabolicRate,MRRawDataOrMean,SampleSize,RawMetabolicRateUnits,RawMetabolicRateCitation,BodyMass,MassRawDataOrMean,BodyMassUnits,Temperature,TemperatureUnits,FactorialAerobicScope,binTemp
Centropristis striata,Centropristis striata,Serranidae,Black sea bass,Sarah,Teleost,"northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",240.307,Mean,10,mg O2 kg^-1 h^-1,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",349.845,Middle,g,13.1445,ËšC,6.769,13
Centropristis striata,Centropristis striata,Serranidae,Black sea bass,Sarah,Teleost,"northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",289.2391667,Mean,12,mg O2 kg^-1 h^-1,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",391.9208333,Middle,g,16.9,ËšC,5.496666667,17
Centropristis striata,Centropristis striata,Serranidae,Black sea bass,Sarah,Teleost,"northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",358.1066667,Mean,12,mg O2 kg^-1 h^-1,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",365.9125,Middle,g,22.01666667,ËšC,4.664166667,22
Centropristis striata,Centropristis striata,Serranidae,Black sea bass,Sarah,Teleost,"northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",353.9808333,Mean,12,mg O2 kg^-1 h^-1,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",347.25,Middle,g,27.93333333,ËšC,3.459166667,27
Centropristis striata,Centropristis striata,Serranidae,Black sea bass,Sarah,Teleost,"northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",307.2242857,Mean,14,mg O2 kg^-1 h^-1,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",328.9285714,Middle,g,29.64642857,ËšC,2.866428571,30
Carcharhinus melanopterus,Carcharhinus melanopterus,Carcharhinidae,Blacktip reef shark,Sarah,Elasmo,"Moorea, French Polynesia",221.98,Mean,8,mg O2 kg^-1 h^-1,"Bouyoucos, I. A., Weideli, O. C., Planes, S., Simpfendorfer, C. A., & Rummer, J. L. (2018). Dead tired: evaluating the physiological status and survival of neonatal reef sharks under stress.ÊConservation physiology,Ê6(1), coy053.",1.05,Mean,kg,30,ËšC,3.2,NA
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,Pleuronectidae,Greenland halibut,Sarah,Teleost,"St Lawrence Estuary, Canada",87.06,Mean,12,mg O2 kg^-1 h^-1 ,"Dupont-Prinet, A., Vagner, M., Chabot, D., & Audet, C. (2013). Impact of hypoxia on the metabolism of Greenland halibut (Reinhardtius hippoglossoides).ÊCanadian Journal of Fisheries and Aquatic Sciences,Ê70(3), 461-469.",80,Mean,g,5,ËšC,3.24,NA
Solea solea,Solea solea BB,Soleidae,Common sole,Sarah,Teleost,"Gironde estuary, France",60.34,Mean,8,mg O2 kg^-1 h^-1,"Lefranois, C. and Claireaux, G. (2003) Influence of ambient oxygenation and temperature on metabolic scope and scope for heart rate in the common sole Solea solea. Marine Ecology Progress Series 259, 271-284",0.15,Mean,kg,8,ËšC,3.29,NA
Solea solea,Solea solea BB,Soleidae,Common sole,Sarah,Teleost,"Gironde estuary, France",108.98,Mean,8,mg O2 kg^-1 h^-1,"Lefranois, C. and Claireaux, G. (2003) Influence of ambient oxygenation and temperature on metabolic scope and scope for heart rate in the common sole Solea solea. Marine Ecology Progress Series 259, 271-285",0.15,Mean,kg,16,ËšC,3.5,NA
Solea solea,Solea solea BB,Soleidae,Common sole,Sarah,Teleost,"Gironde estuary, France",120.48,Mean,8,mg O2 kg^-1 h^-1,"Lefranois, C. and Claireaux, G. (2003) Influence of ambient oxygenation and temperature on metabolic scope and scope for heart rate in the common sole Solea solea. Marine Ecology Progress Series 259, 271-286",0.15,Mean,kg,20,ËšC,2.86,NA
