scientific_name,trophic_position,tro_standard_error
Centropristis striata,3.9,0.19
Centropristis striata,3.9,0.19
Centropristis striata,3.9,0.19
Centropristis striata,3.9,0.19
Centropristis striata,3.9,0.19
Carcharhinus melanopterus,3.9,0.41
Reinhardtius hippoglossoides,4.4,0.14
Solea solea,3.2,0.15
Solea solea,3.2,0.15
Solea solea,3.2,0.15
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Gadus morhua,4.1,0.18
Pollachius virens,4.3,0.35
Merlangius merlangus,4.4,0.18
Ammodytes tobianus,3.1,0.07
Limanda limanda,3,0.01
Limanda limanda,3,0.01
Limanda limanda,3,0.01
Microstomus kitt,3.2,0.33
Microstomus kitt,3.2,0.33
Microstomus kitt,3.2,0.33
Negaprion brevirostris,4.3,0.5
Pleuronectes platessa,3.2,0.27
Pleuronectes platessa,3.2,0.27
Pleuronectes platessa,3.2,0.27
Scyliorhinus canicula,3.8,0.26
Scyliorhinus canicula,3.8,0.26
Scyliorhinus canicula,3.8,0.26
Scyliorhinus canicula,3.8,0.26
Scyliorhinus canicula,3.8,0.26
Scyliorhinus canicula,3.8,0.26
Trachurus trachurus,3.7,0.02
Sphyrna lewini,4.1,0.45
Melanogrammus aeglefinus,4,0.13
Melanogrammus aeglefinus,4,0.13
Melanogrammus aeglefinus,4,0.13
Melanogrammus aeglefinus,4,0.13
Melanogrammus aeglefinus,4,0.13
Morone saxatilis,4.6,0.25
Morone saxatilis,4.6,0.25
Squalus suckleyi,NA,NA
Isurus oxyrinchus,4.5,NA
Mycteroperca microlepis,NA,NA
Mycteroperca microlepis,NA,NA
Mycteroperca microlepis,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Heterodontus francisci,NA,NA
Dicentrarchus labrax,3.5,0.5
Dicentrarchus labrax,3.5,0.5
Triakis semifasciata,3.7,0.16
Engraulis ringens,2.9,0.38
Engraulis ringens,2.9,0.38
Engraulis ringens,2.9,0.38
Engraulis ringens,2.9,0.38
Engraulis ringens,2.9,0.38
Engraulis ringens,2.9,0.38
Engraulis ringens,2.9,0.38
Sardinops sagax,NA,NA
Sardinops sagax,NA,NA
Sardinops sagax,NA,NA
Sardinops sagax,NA,NA
Sardinops sagax,NA,NA
Sardinops sagax,NA,NA
Sardinops sagax,NA,NA
Micropogonias undulatus,4,0.5
Pomatomus saltatrix,4.5,0.3
Scophthalmus maximus,NA,NA
Oncorhynchus gorbuscha,NA,NA
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Rostroraja eglanteria,3.9,0.26
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Amblyraja radiata,4.2,0.27
Mallotus villosus,3.2,0.09
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Hemiscyllium ocellatum,NA,NA
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Leucoraja erinacea,3.6,0.13
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Heterodontus portusjacksoni,3.4,0.48
Notothenia neglecta,NA,NA
Anarhichas lupus,3.6,NA
Anarhichas lupus,3.6,NA
Acanthochromis polyacanthus,2.7,0.3
Albula vulpes,3.7,0.28
Argyrosomus japonicus,4.5,0.61
Caesio teres,NA,NA
Caranx caballus,4,0.54
Cheilinus fasciatus,NA,NA
Chromis atripectoralis,NA,NA
Chromis ternatensis,NA,NA
Chromis ternatensis,NA,NA
Dascyllus aruanus,NA,NA
Dascyllus aruanus,NA,NA
Dascyllus reticulatus,3.1,0.31
Dascyllus reticulatus,3.1,0.31
Forsterygion lapillum,3.2,0.45
Gadus macrocephalus,4.2,0.15
Gadus macrocephalus,4.2,0.15
Gasterosteus aculeatus,3.3,0.18
Kuhlia sandvicensis,3.8,0.56
Leiostomus xanthurus,3.2,0.07
Pterocaesio marri,NA,NA
Rhinecanthus aculeatus,3.2,0.14
Salmo trutta,3.4,0.1
Salmo trutta,3.4,0.1
Salmo trutta,3.4,0.1
Salmo trutta,3.4,0.1
Scarus schlegeli,2,NA
Scolopsis bilineata,NA,NA
Seriola lalandi,4.2,0.14
Stethojulis bandanensis,NA,NA
Oncorhynchus mykiss,4.1,0.28
Oncorhynchus mykiss,4.1,0.28
Oncorhynchus mykiss,4.1,0.28
Lates calcarifer,3.8,0.6
Oplegnathus fasciatus,NA,NA
Oplegnathus fasciatus,NA,NA
Oplegnathus fasciatus,NA,NA
Ostorhinchus cyanosoma,NA,NA
Ostorhinchus cyanosoma,NA,NA
Ostorhinchus cyanosoma,NA,NA
Ostorhinchus cyanosoma,NA,NA
Ostorhinchus doederleini,3.6,0.56
Ostorhinchus doederleini,3.6,0.56
Ostorhinchus doederleini,3.6,0.56
Ostorhinchus doederleini,3.6,0.56
Dascyllus melanurus,NA,NA
Dascyllus melanurus,NA,NA
Dascyllus melanurus,NA,NA
Dascyllus melanurus,NA,NA
Cheilodipterus quinquelineatus,NA,NA
Cheilodipterus quinquelineatus,NA,NA
Cheilodipterus quinquelineatus,NA,NA
Cheilodipterus quinquelineatus,NA,NA
Myoxocephalus scorpius,3.9,NA
Myoxocephalus scorpius,3.9,NA
Myoxocephalus scorpius,3.9,NA
Myoxocephalus scorpioides,NA,NA
Myoxocephalus scorpioides,NA,NA
Myoxocephalus scorpioides,NA,NA
Gymnocanthus tricuspis,NA,NA
Gymnocanthus tricuspis,NA,NA
Gymnocanthus tricuspis,NA,NA
Sparus aurata,NA,NA
Boreogadus saida,3.1,0.11
Bathylagus antarcticus,NA,NA
Cyclothone microdon,NA,NA
Poromitra crassiceps,3.1,0.3
Melanostigma gelatinosum,NA,NA
Benthalbella elongata,NA,NA
Electrona antarctica,3.2,0.35
Gymnoscopelus braueri,3.2,0.32
Gymnoscopelus opisthopterus,NA,NA
Cynomacrurus piriei,NA,NA
Squalus acanthias,4.4,0.41
Squalus acanthias,4.4,0.41
Squalus acanthias,4.4,0.41
Squalus acanthias,4.4,0.41
Squalus acanthias,4.4,0.41
Carcharhinus leucas,4.3,0.46
Carcharhinus leucas,4.3,0.46
Carcharhinus leucas,4.3,0.46
Katsuwonus pelamis,4.4,0.47
Thunnus albacares,4.4,0.41
Oncorhynchus nerka,3.5,0.16
Oncorhynchus keta,3.7,0.19
Oncorhynchus keta,3.7,0.19
Polyprion oxygeneios,4.4,0.77
Polyprion oxygeneios,4.4,0.77
Polyprion oxygeneios,4.4,0.77
Polyprion oxygeneios,4.4,0.77
Polyprion oxygeneios,4.4,0.77
Acipenser brevirostrum,NA,NA
Acipenser brevirostrum,NA,NA
Acipenser brevirostrum,NA,NA
Forsterygion lapillum,3.2,0.45
Salvelinus alpinus,4.4,0.51
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Cephalopholis argus,NA,NA
Chaetodon ornatissimus,NA,NA
Chaetodon ornatissimus,NA,NA
Chaetodon ornatissimus,NA,NA
Chaetodon ornatissimus,NA,NA
Chaetodon ornatissimus,NA,NA
Chaetodon ornatissimus,NA,NA
Chaetodon ornatissimus,NA,NA
Chromis iomelas,NA,NA
Chromis iomelas,NA,NA
Chromis iomelas,NA,NA
Chromis iomelas,NA,NA
Chromis iomelas,NA,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Ctenochaetus striatus,2,NA
Naso lituratus,2.3,0.19
Naso lituratus,2.3,0.19
Naso lituratus,2.3,0.19
Naso lituratus,2.3,0.19
Odonus niger,NA,NA
Odonus niger,NA,NA
Odonus niger,NA,NA
Odonus niger,NA,NA
Odonus niger,NA,NA
Odonus niger,NA,NA
Odonus niger,NA,NA
Odonus niger,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
Zebrasoma scopas,NA,NA
